Surface Area,Label
16946.5,No Error
12602.5,No Error
15782.0,No Error
17251.5,No Error
12879.5,No Error
10166.0,No Error
10387.0,No Error
9499.0,No Error
14403.5,No Error
10755.0,No Error
10157.0,No Error
10517.0,No Error
11817.5,No Error
9088.5,No Error
9343.0,No Error
9629.0,No Error
12331.5,No Error
9339.0,No Error
10913.5,No Error
10395.0,No Error
13795.0,No Error
12242.0,No Error
9854.5,No Error
9578.5,No Error
13262.0,No Error
13854.5,No Error
8665.0,No Error
16834.0,No Error
24671.5,Non Critical Error
13108.5,Non Critical Error
10351.5,Non Critical Error
16518.5,Non Critical Error
24883.0,Non Critical Error
51328.0,Non Critical Error
19940.5,Non Critical Error
26171.0,Non Critical Error
32413.5,Non Critical Error
71738.5,Non Critical Error
20425.5,Non Critical Error
36109.5,Non Critical Error
28830.5,Non Critical Error
59918.0,Non Critical Error
4255.5,Non Critical Error
29857.0,Non Critical Error
13674.0,No Error
11208.5,No Error
14414.0,No Error
14079.0,No Error
28439.0,Non Critical Error
43171.5,Non Critical Error
4472.0,Non Critical Error
29358.0,Non Critical Error
18463.5,Non Critical Error
35600.0,Non Critical Error
2162.5,Non Critical Error
28089.0,Non Critical Error
18073.5,Non Critical Error
35701.0,Non Critical Error
2314.5,Non Critical Error
23875.0,Non Critical Error
25220.5,Non Critical Error
37423.0,Non Critical Error
840.5,Non Critical Error
28081.0,Non Critical Error
23303.0,Non Critical Error
37535.5,Non Critical Error
1685.0,Non Critical Error
29688.5,Non Critical Error
13934.0,No Error
10573.5,No Error
11635.0,No Error
11555.5,No Error
12180.5,No Error
10865.0,No Error
10728.0,No Error
10081.0,No Error
13096.0,No Error
9646.5,No Error
10140.0,No Error
10655.0,No Error
13472.5,No Error
9391.0,No Error
9768.5,No Error
9914.0,No Error
13401.5,No Error
8235.5,No Error
9101.0,No Error
9341.0,No Error
12866.5,No Error
8773.0,No Error
11152.0,No Error
11721.0,No Error
13892.5,No Error
9702.0,No Error
10561.0,No Error
9124.5,No Error
12433.5,No Error
9967.0,No Error
10198.0,No Error
9569.0,No Error
